;Оригинал;Перевод на казахский;Перевод на русский
0;Су шашатын кнопкасы істемей қалды су шашпайды не істеуге болады??;Су шашатын батырмасы істемей қалды. Су шашпайды. Не істесе болады?;Не работает кнопка для опрыскивания воды. Не брызгает воду. Что можно сделать?
1;Реклама не стойт хотя бы 24 сағат тұрмады, Zellоға салып жіберем парақшаңызды;Жарнама тұрмайды. Ең болмаса 24 сағат тұрмады. Zello-ға салып жіберемін парақшаңызды. ;Реклама не стоит. Не стоял хотя бы 24 часа. Я отправлю вашу страницу в Zello.
2;Су құятын жеріне су құйсаң ағып кетеді оған не жасауға болады,, пока қақ жоқ;Су құятын жеріне су құйсаң, ағып кетеді. Оған не жасауға болады? Әлі қақ жоқ.;Если влить воду в место для вливания воды, то вода выливается, что можно сделать? Пока нет накипи.
3;Кадымгы заварка (одноразовый емес) жылы суга шыгынын шыгарып аласыздар и сеуып койсаныз, иыс кетеди ;Кәдімгі шайды (бір реттік емес) жылы суға шығынын шығарып аласыздар, сосын сеуіп қойсаңыздар, иіс кетеді;Если простую заварку (неодноразовую) крепко заварить в воде и сбрызнуть на поверхность, запах пройдет.
4;Өтірік мен солай жасап ол одан да страшно сасып кеткен;Өтірік, мен солай жасап, одан да қатты сасып кеткен;Ложь, я так делал, но запах страшно усилился.
5;Точна кетема ким истеп корди айьып жибериниздерші;Шынымен кетеді ме, кім істеп көрді, айтып жіберіңіздерші;Точно пройдет? Кто пробовал, скажите
6;Маразилникке ме кайда кою керек;Мұздатқышқа ма, қайда қою керек?;Куда ставить, в морозильник?
7;Оның орнына ең оңай тәсілі таппердің умный холодильнигіне сақтаған дұрыс;Оның орнына, ең оңай тәсілі, таппердің ақылды тоңазытқышына сақтаған дұрыс.;Вместо этого, самый легкий способ, лучше хранить в умном холодильнике от таппер
8;Бірінші уксус пен содаға замочить етеміз и сосын банкаға су құйып салып қоясыз.;Бірінші сірке суы мен содаға салып қоямыз, ал сосын банкаға су құйып салып қоясыз.;Сначала замачиваете в уксусе и соде, и потом храните в банке с водой
9;Мен жуып кептіріп ұсақтап турап банкаға салып крышкасын жауып халадилникке салып қоямын. ;Мен жуып, кептіріп, ұсақтап турап, банкаға салып, қақпағын жауып, тоңазытқышқа салып қоямын.;Я мою, сушу, мелко нарезаю, кладу в банку и храню в холодильнике
10;Салфетканы абайлап салмасаңыз барабаннын арасына кірп кетсе машинка бұзылады.;Майлықты абайлап салмасаңыз, барабанның арасына кіріп кетсе, машина бұзылады.;Если неправильно положить салфетку, то она попадет в отверстия барабана и машинка сломается
11;Страшно құрт болады екен ғой тақтайда. Әсіресе, ағашында. Шикі Ет деген, құрт болады ғой;Тақтайда көп құрт болады екен ғой. Әсіресе, ағашында. Шикі ет деген құрт болады ғой.;Оказывается на досточке страшно много червей. Особенно на досках из дерева. Черви из сырого мяса
12;Кір сабынды мелкий тёркамен өкіріп, сода пишевой қосып жақсылап әппах болғанша арластырып, феридін орнына ыдыс аяқ жусаныз күшті;Кір сабынды майда үккіштен өткізіп, ас содасын қосып, аппақ болғанша араластырып, фейридің орнына ыдыс-аяқ жусаңыз, күшті;Натираете хозяйственное мыло на мелкой терке, добавляете пищевую соду, хорошенько до бела перемешиваете, и можно мыть посуду вместо фейри, классно
13;ір сабын менде көп қолданамын,посуданыда кір сабынмен жуамын кейде, пайдалы ақпаратты тегін айтсаң елдер осы есіредіғой.;кір сабын мен де көп қолданамын, ыдыс-аяқты кір сабынмен жуамын кейде, пайдалы ақпаратты тегін айтсаң елдер осы есіреді ғой.;я тоже часто использую хозяйственное мыло, иногда посуду мою хозяйственным мылом, когда даешь полезную информацию бесплатно, люди начинают гнать
14;Қысқасы анау тазикке не жуылмайды десеңізші ,бірақ ешкім ауырмайтын.Мусорный шелекке не тастайсыз соншалықты жіркенетіндей?;Қысқасы ана легенге не жуылмайды десеңізші, бірақ ешкім ауырмайтын. Қоқыс шелегіне не тастайсыз соншалықты жиіркенетіндей?;Одним словом, что вы не моете в этом тазике. И никто не болеет. Что такого вы выбрасывается в мусорное ведро, что так сильно брезгуете?
15;Барлық жерді бір перчаткимен жуып шықтыма?;Барлық жерді бір қолғаппен жуып шықты ма?;Она помыла все одними перчатками?
16;Айта кетейін, пылесос дәл менікіндей екен. Бірақ шаңды сорып алатын губкасы кірлеп кетіпті қап қара боп.;Айта кетейін, шаңсорғыш дәл менікіндей екен. Бірақ шаңды сорып алатын жөкесі кірлеп кетіпті қап-қара болып.;Хочу сказать, что пылесос такой же, как у меня. Но губка для высасывания пыли сильно загрязнилась
17;Вытяжкамнын сол жери май боп тур,и материалы пластмасса екен.Жууга коркып журмин цвети кетип калмайдыма деп ;Майсорғыштың сол жері май боп тұр, материалы пластмасса екен, қорқып жүрмін түсі кетіп қала ма деп.;У меня тоже жир на вытяжке. Но материал - пластмасса. Боюсь помыть, вдруг цвет потеряет
18;Перчатка жок болса, қолыңызға одноразов пакетик киип алуға болад;Қолғап жоқ болса, қолыңызға бір реттік пакет киіп алуға болады.;Если нет перчаток, можете надеть одноразовые пакеты на руки
19;Әйелде разве тестостерон бар?;Әйелде тестостерон бар ма еді?;Разве у женщины есть тестостерон?
20;Банктен алынган кредитиниз аи саиын коп болса, просрочкага киргиниз келмесе немесе просрочка болганына 90 куннен аспаса , кредит историянызды бузылганын каламасаныз -Ен тиимди жолы  оптимизация 50% томендету. Барлыгы заңды документально жасалады. Одобрение 100 паиыз береди. Толықтай түсіндіремін;Банктен алынған кредитіңіз ай сайын көп болса, кешіктіруге кіргіңіз келмесе немесе кешіктіру болғанына 90 күннен аспаса, кредит тарихыңыздың бұзылғанын каламасаңыз - ең тиімді жолы - оптимизацияны 50 пайыз төмендету. Барлығы заңды құжатты түрде жасалады. Мақұлдау 100 пайыз береді. Толықтай түсіндіремін.;Если у вас каждый месяц большой кредит в банке, если вы не хотите иметь просрочку или если у вас просрочка более 90 дней, если вы не хотите, чтобы ваша кредитная история была испорчена – самый эффективный способ способ оптимизации — сократить на 50 процентов. Все будут юридически оформлено. Одобрение 100 процентов. Я объясню подробно.
21;Атым [Имя] болады жасым 16 жаста студентпин өскеменен болам әкемнен ерте айырылғанмын анам ауырып2022иншы жылы тамыздың 12 сі жүректен ауырып қайтыс болды обшегага нанга майға макаронга көмек керек ;Атым [Аты] болады, жасым 16 жаста, студентпін, Өскеменнен боламын, әкемнен ерте айырылғанмын, анам ауырып, 2022 жылы тамыздың 12-сі жүректен ауырып, қайтыс болды. Жатақханаға, нанға, майға, макаронға көмек керек. ;Меня зовут [Имя], мне 16 лет, я студент, я из Оскемена, рано потерял отца, мама заболела и умерла от болезни сердца 12 августа 2022 года. Нужна помощь с общежитием, хлебом, маслом, макаронами.
22;Стопты умыткан жоксыз ба ?;Тоқтауды ұмытқан жоқсыз ба?;Ты не пропустишь стоп?
23;Өнерде жүрген адам,былай орамал таққанымен,сахнаға жамылып,,оранвп шығу шарт емес,,жастық шағын адамша,,өзіне сенімді адам орамалсызда иманды болуға боладв,,хотя б сахнаға орамалмен малынвп шығу шарт емес,,,;Өнерде жүрген адам, былай орамал таққанымен, сахнаға жамылып, оранып шығу шарт емес, жастық шағын адамша, өзіне сенімді адам орамалсызда иманды болуға болады. Тым болмаса сахнаға орамалмен малынып шығу шарт емес.;Человек, находящийся в искусстве, не обязательно должен быть укутан на сцене, человек в юности, уверенный в себе человек может быть верующим без платка. По крайней мере, не обязательно выходить на сцену с платком.
24;[Название компании] компаниясы әлемдік компания сетевой бизнестің көшбасшысында тұрған компания!!!;[Компания аты] компаниясы әлемдік компания, желілік бизнестің көшбасшысында тұрған компания!!!;[Название компании] глобальная компания, компания-лидер сетевого-бизнеса!!!
25;*Әр бейсенбі сайын кабинеттен командаңыздан, яғни Қазақстан бойынша переливті көресіз*;Әр бейсенбі сайын кабинеттен, командаңыздан, яғни Қазақстан бойынша асып төгілуді көресіз.;Каждый четверг вы увидите перелив по Казахстану  из вашего офиса, от вашей команды.
26;[Название компании] оқытамын каргомен бірге 2000 тг от и до ;[Компания аты] оқытамын, жүкпен бірге 2000 теңге басынан бастап аяғына дейін.;[Название компании] Обучаю  за 2000 тенге с грузом от и до.
27;Менде жылайтын едим моя любимая песня;Менде жылайтын едім, менің сүйікті әнім.;Я тоже плакала, моя любимая песня.
28;Маган Комектесесиздер ме Аллах разылыгы ушин Отинемин.Бир озимнин ештенеге Шамам жетпеуде Кредитым бар Озимиз квартирада Турамыз Ыстык тамак атымен ишпеймиз Бир кусок нан тапсак соган ырзамыз;Маған көмектесесіздер ме, Алла разылығы үшін. Өтінемін.Бір өзімнің ештемеге шамам жетпеуде. Кредитім бар, өзіміз пәтерде тұрамыз. Ыстық тамақ атымен ішпейміз. Бір жұлым нан тапсақ, соған ырзамыз.;Поможете мне, ради Аллаха. Пожалуйста, я сама ничего не могу сделать. У меня кредит, живем в квартире. Не пьем горячую пищу. Если мы находим кусок хлеба, мы радуемся ему.
29;"Шынайы отзывтар....... Бад —дәрілік зат емес Тәбетті жауып, жиі шөлдетіп, іштегі қатып қалған шлактарды
тазалайды метаболизмді реттеп токсиндерді түзеп, бетті тазалап өмірге деген құлшыныс оянып, өмірге талпын береді";"Шынайы шолулар. Бад —дәрілік зат емес, тәбетті жауып, жиі шөлдетіп, іштегі қатып қалған қождарды
тазалайды, метаболизмді реттеп, токсиндерді түзеп, бетті тазалап, өмірге деген құлшыныс оянып, өмірге талпын береді.";Подлинные отзывы. Бад не является лекарственным веществом, подавляет аппетит, часто вызывает жажду и затвердевание шлаков в желудке, очищает, регулирует обмен веществ, выводит токсины, очищает лицо, пробуждает интерес к жизни, дает толчок к жизни.
30;Доставка тегін 2 сағат ішінде жеткізіп беремиз;Жеткізу тегін, 2 сағат ішінде жеткізіп береміз.;очищает, регулирует обмен веществ, выводит токсины, очищает лицо, пробуждает интерес к жизни, дарит жизнь.
31;Дәптер ручка юбка ковта алуға көмектесіңіздерш;Дәптер, қалам, белдемше, жемпір алуға көмектесіңіздерші.;Помогите, пожалуйста, достать тетрадь, ручку, юбку, кофту.
32;Акшасы оте кымбат деп айтсандарш как будто бесплатно сиякты мактайсындар;Ақшасы өте қымбат деп айтсаңдаршы, тегін беріп жатқандай мақтайсыңдар.;Скажите, что цена очень дорогая, вы хвалите, как будто дает бесплатно.
33;Инстаграмға Подписчик, лайк қосып береміз;Инстаграмға оқырман, ұнату қосып береміз.;Добавляем подписчиков и лайки в Инстаграм.
34;Заказ үшін Директке жазыңыз;Тапсырыс үшін жекеге жазыңыз.;Для заказа пишите в Директ.
35;Жалғыз басты анамын Квартирада тұрамын жолдасым қайтыс болған өзім 2-топ мүгедекпін жұмысқа жарамсызбын ауыр жұмыс жасай алмаймын. Пасобия пенсия алам жартысынан көбін кредит ұстап қалады.1 бөлмелі времянкада 60 мың теңге төлеп тұрамыз оның тағы ком услугасы бар бөлек квартира төлеуге тамаққа жетпей қалады. ;Жалғыз басты анамын. Пәтерде тұрамын, жолдасым қайтыс болған. Өзім 2-топ мүгедекпін, жұмысқа жарамсызбын. Ауыр жұмыс жасай алмаймын. Жәрдемақы, зейнетақы аламын, жартысынан көбін кредит ұстап қалады. 1 бөлмелі уақытша үйге 60 мың теңге төлеп тұрамыз, оның тағы коммуналдық қызметтері бар, бөлек пәтер төлеуге, тамаққа жетпей қалады. ;Я мать-одиночка. Я живу в квартире, муж умер. Я инвалид 2 группы, к работе не годна. Я не могу выполнять тяжелую работу. Получаю пособия и пенсии, больше половины из них удерживается в кредит. За 1-комнатную времянку мы платим 60 000 тенге, в ней тоже есть коммунальные услуги, а на оплату отдельной квартиры и питания не хватает.
36;Саламатсыздарма! Платныйма;Сәлеметсіздер ме! Ақылы ма?;за временное жилье мы платим 60 тысяч тенге, в нем тоже есть коммунальные услуги, на отдельную квартиру и питание не хватает.
37;Астана қаласында филиал жок па екен;Астана қаласында бөлімше жок па екен?;Есть ли филиал в Астане?
38;Димаштың ставкасы өсетің болды ;Димаштың ұсынысы өсетін болды. ;Ставка Димаша увеличится.
39;Молодец жарайсың;Жарайсың.;Молодец.
40;Вы молодец! Хоть стараетесь казакша сойлеуге! ❤️👏🔥Хотя б за деньги;Жарайсыңыз! Қазақша сөйлеуге тырысып жатырсыз, тым болмаса ақша үшін.;Вы молодец! Хоть стараетесь говорить на казахском! Хотя бы за деньги.
41;Кино называется ояан кыздар. Или там Тупсана сиякты го коуч мотиватор инста миллионерлерге уксап тур;"Кино ""Оян, қыздар"" деп аталады. Немесе мұнда Түпсана сияқты ғой, бапкер, уәждемеші, инстаграм миллионерлерге ұксап тұр.";Фильм называется «Просыпайтесь, девчонки». Или тут как Тупсана, выглядит как тренер, мотиватор, миллионеры Инстаграма.
42;Заказала я жизнь хорошую. Вот выполнена мой заказ . Дейсің бе Баян !;Жақсы өмірге тапсырыс бердім. Міне менің тапсырысым орындалды. Дейсің бе, Баян!;Заказала я жизнь хорошую. Вот выполнена мой заказ . Так ты говоришь, Баян!
43;Керемет, жарайсың ,демал ,қыдыр,живи в свое удовольствие !!!;Керемет, жарайсың, демал, қыдыр, өз рахатыңмен өмір сүр!!!;Это здорово, у вас все хорошо, расслабьтесь, идите гуляйте, живите в свое удовольствие!!!
44;Дочам бугин инста паракша ашып берген;Қызым бүгін инстаграм парақша ашып берген.;Сегодня моя дочь открыла  страницу в Инстаграм.
45;Жибек пен Толеген на свидании)));Жібек пен Төлеген кездесуде.;Жибек и Толеген на свидании.
46;"сизге улкен рахмет . Осы спортивканы и фудбрлка алғанмын  Астана каласына даже 
Оте кушти сапасы  огоньгой рахмет . Катты унады  Братишкама подарокка алганмын фотога тусирип жиберемиз";Сізге көп рақмет. Осы спорттық киімді және футболка алғанмын, тіпті Астана қаласына. Өте күшті, сапасы керемет қой, рақмет. Қатты ұнады.  Ініме сыйлыққа алғанмын, суретке түсіріп жібереміз.;Большое спасибо вам. Эту спортивку и футболку я купила, даже в Астане. Очень классно, отличное качество, спасибо. Мне это очень нравится. Купила в подарок брату, сфотографируем и отправим.
